ROW,COL,2000
1,19,28502
2,12,19344
2,13,507990
2,19,296553
2,20,2907255
3,12,111041
3,13,332106
3,19,2963201
3,20,1196236
4,10,3824
4,11,3751
4,12,198454
4,13,1568246
4,14,3077787
4,15,395784
4,16,987616
4,17,21062
4,18,128726
4,19,2060148
4,20,483570
5,7,5225
5,8,316927
5,9,379485
5,10,53448
5,11,187078
5,12,141763
5,13,982316
5,14,508714
5,15,487783
5,16,1051317
5,17,953576
5,18,732385
5,19,757563
5,20,153030
6,4,27012
6,5,8552917
6,6,243493
6,7,2053226
6,8,374239
6,9,121217
6,10,117416
6,11,272958
6,12,166749
6,13,3455996
6,14,805289
6,15,511969
6,16,625725
6,17,1171461
6,18,3205585
6,19,971862
6,20,1070142
6,21,68711
7,3,158
7,4,1145327
7,5,2848803
7,6,242067
7,7,182690
7,8,82700
7,9,507877
7,10,132603
7,11,260184
7,12,116953
7,13,1016336
7,14,490675
7,15,773046
7,16,1185023
7,17,1128531
7,18,1660315
7,19,1777443
7,20,2548806
7,21,1214184
7,22,16170
8,3,3843826
8,4,1251750
8,5,16148
8,6,805740
8,7,83576
8,8,39023
8,9,123333
8,10,87107
8,11,39839
8,12,88949
8,13,539234
8,14,1008318
8,15,553833
8,16,536703
8,17,1308320
8,18,900118
8,19,1047723
8,20,1677834
8,21,1684014
8,22,437791
9,2,8156
9,3,2541890
9,4,838287
9,5,9805
9,6,7806
9,7,38252
9,8,29724
9,9,199291
9,10,1522537
9,11,49394
9,12,97748
9,13,268506
9,14,1504441
9,15,493370
9,16,2097434
9,17,911417
9,18,3293847
9,19,1071078
9,20,625680
9,21,5448507
9,22,1402887
10,2,79286
10,3,202829
10,4,41005
10,5,18030
10,6,26094
10,7,988345
10,8,57914
10,9,29887
10,10,916972
10,11,62818
10,12,115758
10,13,415448
10,14,696523
10,15,532746
10,16,1031251
10,17,2041317
10,18,2076299
10,19,3957517
10,20,2945079
10,21,1675499
10,22,15117076
10,23,4065642
10,24,252814
11,2,76415
11,3,288399
11,4,9738
11,5,66454
11,6,126863
11,7,187723
11,8,33331
11,9,55562
11,10,38946
11,11,54374
11,12,29709
11,13,310916
11,14,295944
11,15,624730
11,16,1111212
11,17,5903312
11,18,2217356
11,19,3457787
11,20,952035
11,21,1583866
11,22,1472058
11,23,3719111
11,24,2724578
12,2,55236
12,3,1074921
12,4,61247
12,5,221333
12,6,59742
12,7,42346
12,8,29955
12,9,42948
12,10,43297
12,11,85939
12,12,34428
12,13,152216
12,14,359843
12,15,2299238
12,16,497210
12,17,709062
12,18,488083
12,19,85676
12,21,1613
12,22,215672
12,23,459692
12,24,634129
12,25,86720
13,2,63806
13,3,1692547
13,4,364983
13,5,149207
13,6,98438
13,7,94685
13,8,70930
13,9,93005
13,10,20121
13,11,36641
13,12,84873
13,13,179529
13,14,305934
13,15,296310
13,16,110044
13,17,147260
13,18,61501
13,19,587
13,24,3880
13,25,56518
14,2,7008
14,3,1862275
14,4,91892
14,5,409577
14,6,94457
14,7,53500
14,8,34551
14,9,9961
14,10,20369
14,11,50973
14,12,58423
14,13,93166
14,14,64412
14,15,63961
14,16,4186
14,17,652
15,14,98
